"_SITE_TITLE";"Social Network"
"Home";"Home"
"Members";"Iscritti"
"Layout";"Aspetto"
"Stats";"Statistiche"
"Ads";"Annunci"
"Plugins";"Plugins"
"Settings";"Impostazioni"
"Manage";"Manage"
"Menu Editor";"Menu Editor"
"Language Manager";"Language Manager"
"File & Media Manager";"File & Media Manager"
"Theme Editor";"Theme Editor"
"Layout Editor";"Layout Editor"
"Log Browser";"Log Browser"
"Server Information";"Informazioni Server"
"Referring URLs";"Urls di provenienza"
"Site-wide Statistics";"Statitiche del Sito"
"Create New Campaign";"Crea Nuova Campagna"
"Manage Ad Campaigns";"Amministra Campagne Pubblicitarie"
"Performance & Caching";"Prestazioni e Cashing"
"System Emails";"Email di Sistema"
"Friendship Settings";"Impostazioni Amicizie"
"Spam & Banning Tools";"Srumenti Ban e Spam"
"Activity Feed Settings";"Activity Feed Settings"
"Signup Process";"Processo di Iscrizione"
"Profile Questions";"Questionario Profilo"
"Locale Settings";"Impostazioni Locali"
"Abuse Reports";"Abuse Reports"
"Announcements";"Annunci"
"Networks";"Networks"
"Member Levels";"Livelli iscritti"
"Save Changes";"Salva Modifiche"
"Contact Us";"Contattaci"
"An error occurred:";"Si è verificato un errore:"
"Privacy Statement";"Termini sulla Privacy"
"Terms of Service";"Termini del Servizio"
"Browse By";"Sfoglia per"
"Most Recent";"Più Recenti"
"Most Popular";"Più Popolari"
"Delete";"Rimuovi"
"or";"o "
" or ";"o "
"cancel";" annulla"
"Cancel";" Annulla"
"Search";"Cerca"
"Success";"Riuscito"
"Description";"Descrizione"
"Name";"Nome"
"member";"iscritto";"iscritti"
"friendship";"amicizia";"amicizie"
"post";"post";"post"
"comment";"commento";"commenti"
"Password";"Password"
"Login";"Login"
"Remember Me";"Ricordami"
"Email Address";"Indirizzo Email"
"Message";"Messaggio"
"Human Verification";"Codice di Verifica"
"Please type the characters you see in the image.";"Ricopia i caratteri che vedi nell'immagine"
"Send Message";"Invia messaggio"
"Posted by %s";"Pubblicato da %s"
"%s update";"%s aggiornamento  ";"%s aggiornamenti "
"%s Update";"%s Aggiornamento ";"%s Aggiornamenti"
"updates";"aggiornamenti"
"0 Updates";"0 Aggiornamenti"
"First";"Primo"
"Last";"Precedente"
"&#171; Previous";"&#171; Precedente   "
"Next &#187;";"Successiva &#187;"
"More +";"Altro +"
"Copyright";"Copyright"
"Created %s by ";"Creato %s da "
"Post Comment";"Commenta"
"%s comment";"%s commento ";"%s commenti  "
"%d hour ago";"%d ora fa";"%d ore fa"
"There was an error processing your request.  Please try again later.";"Si è verificato un errore durante l'elaborazione della tua richiesta. Riprova più tardi."
"View all %s comment";"Vedi tutti i commenti di %s";"Vedi tutti i commenti  di %s"
"Like This";"Mi piace questo elemento"
"Like";"Mi piace"
"Unlike";"Non mi piace più"
"Comment";"Commenta"
"Unlike This";"Non mi piace"
"%s likes this";"A %s piace questo elemento";"A %s piace questo elemento"
"%s person likes this";"a %s persona piace questo elemento";"a %s persone piace questo elemento"
"View previous comments";"Vedi commenti precedenti"
"View more comments";"Vedi altri commenti"
"View later comments";"Vedi commenti successivi"
"View All Updates";"Vedi tutto"
"Mark All Read";"Marca tutti come già letti"
"You have no new updates.";"Non hai nuovi aggiornamenti."
"Report";"Segnala"
"Submit Report";"Invia Segnalazione"
"Do you want to report this?";"Vuoi segnalare una irregolarità?"
"(select)";"(seleziona)"
"Spam";"Spam"
"Abuse";"Abuso"
"Inappropriate Content";"Contenuto inappropriato"
"Licensed Material";"Materiale che viola i diritti d'autore"
"Other";"Altro"
"Add Link";"Aggiungi Link"
"Edit Thumbnail";"Modifica Miniatura"
"Apply Changes";"Apply Changes"
" Loading...";" Caricamento..."
"Are you sure you want to delete this link?";"Sei certo di coler rimuovere questo link?"
"Delete Link";"Delete Link"
"Please enter a search query.";"Please enter a search query."
"No results were found.";"No results were found."
"%s result found";"%s risultato trovato";"%s risultati trovati"
"Whoops!";"Whoops!"
"Page Not Found";"Page Not Found"
"Go Back";"Go Back"
"The page you have attempted to access could not be found.";"The page you have attempted to access could not be found."
"Private Page";"Private Page"
"You do not have permission to view this private page.";"Non hai i permessi per vedere questa pagina privata."
"That resource does not exist";"That resource does not exist"
"Please sign in to continue.";"Accedi per continuare."
"Like added";"Like added"
"Like removed";"Like removed"
"Invalid request method";"Invalid request method"
"Comment deleted";"Comment deleted"
"Invalid data";"Invalid data"
"The requested resource could not be found.";"The requested resource could not be found."
"You are not authorized to access this resource.";"You are not authorized to access this resource."
"Please sign in to continue..";"Accedi per continuare."
"Whoops! Something went wrong!";"Whoops! Something went wrong!"
"Thank you for your feedback!";"Thank you for your feedback!"
"Invalid Method";"Invalid Method"
"Link created";"Link created"
"Link doesn't exists or not authorized to delete";"Link doesn't exists or not authorized to delete"
"Link has been deleted.";"Link has been deleted."
"Birthdays must include a month and a date.";"La data di nascita deve includere giorno, mese e anno."
"Please select a date from the calendar";"Seleziona una data dal calendario"
"Please select a time from the dropdown";"Seleziona ora dal menu a discesa"
"Please select AM or PM";"Seleziona ora AM o PM"
"AM/PM value selected without specifying a time";"AM/PM valore selezionato senza specificare l'ora"
"End time cannot be before start time";"La fine non può essere antecedente all'inizio."
"By %s";"Di %s"
"...";"..."
"An error has occurred processing the request.  The target may no longer exist.";"An error has occurred processing the request.  The target may no longer exist."
"Close";"Chiudi"
",";","
"Sign In or %1$sJoin%2$s";"Entra o %1$sIscriviti%2$s"
"and";"and"
"now";"now"
